CMDLINE python linear_rgb.py thejohnhoffer/minerva-lib-python@0b1f59c260dc182da4fde1c30a42867fab1b1b4b
MEM 1.609375 1524690069.4740
MEM 43.953125 1524690069.5743
MEM 56.082031 1524690069.6745
MEM 69.019531 1524690069.7748
MEM 73.433594 1524690069.8750
MEM 94.484375 1524690069.9753
MEM 97.761719 1524690070.0755
MEM 100.824219 1524690070.1758
MEM 129.683594 1524690070.2761
MEM 116.945312 1524690070.3766
MEM 116.945312 1524690070.4768
MEM 145.691406 1524690070.5772
MEM 117.906250 1524690070.6776
MEM 117.906250 1524690070.7780
MEM 148.292969 1524690070.8784
MEM 126.902344 1524690070.9789
MEM 126.902344 1524690071.0792
MEM 162.734375 1524690071.1795
MEM 138.902344 1524690071.2798
MEM 138.902344 1524690071.3802
MEM 146.632812 1524690071.4805
MEM 138.902344 1524690071.5809
MEM 138.902344 1524690071.6811
MEM 162.617188 1524690071.7814
MEM 138.902344 1524690071.8817
MEM 138.902344 1524690071.9822
MEM 138.902344 1524690072.0825
MEM 101.902344 1524690072.1828
MEM 126.902344 1524690072.2831
MEM 123.902344 1524690072.3834
MEM 123.902344 1524690072.4837
MEM 167.722656 1524690072.5840
MEM 143.902344 1524690072.6844
MEM 143.902344 1524690072.7847
MEM 159.625000 1524690072.8850
MEM 122.902344 1524690072.9853
MEM 122.902344 1524690073.0855
MEM 166.617188 1524690073.1858
MEM 142.902344 1524690073.2861
MEM 142.902344 1524690073.3864
MEM 122.902344 1524690073.4866
MEM 122.902344 1524690073.5869
MEM 150.632812 1524690073.6872
MEM 142.902344 1524690073.7875
MEM 142.902344 1524690073.8879
MEM 122.902344 1524690073.9882
MEM 122.902344 1524690074.0886
MEM 127.519531 1524690074.1889
MEM 123.902344 1524690074.2892
MEM 123.902344 1524690074.3896
MEM 151.375000 1524690074.4898
MEM 143.902344 1524690074.5901
MEM 143.902344 1524690074.6905
MEM 122.902344 1524690074.7908
MEM 122.902344 1524690074.8911
MEM 160.015625 1524690074.9914
MEM 142.902344 1524690075.0917
MEM 142.902344 1524690075.1921
MEM 158.625000 1524690075.2924
MEM 122.902344 1524690075.3927
MEM 122.902344 1524690075.4930
MEM 142.902344 1524690075.5932
MEM 142.902344 1524690075.6935
MEM 142.902344 1524690075.7939
MEM 122.902344 1524690075.8943
MEM 122.902344 1524690075.9946
MEM 146.839844 1524690076.0949
MEM 146.839844 1524690076.1953
MEM 150.964844 1524690076.2956
MEM 166.691406 1524690076.3959
MEM 166.691406 1524690076.4964
MEM 123.558594 1524690076.5967
MEM 123.558594 1524690076.6970
MEM 166.609375 1524690076.7973
MEM 166.609375 1524690076.8976
MEM 166.609375 1524690076.9979
MEM 123.558594 1524690077.0982
MEM 123.558594 1524690077.1985
MEM 166.609375 1524690077.2988
MEM 166.609375 1524690077.3990
MEM 166.609375 1524690077.4994
MEM 101.910156 1524690077.5997
